time,Voltage min,Shunt current
1.2591,,3.0
1.2632,,2.0
1.2672,,2.0
1.2713,,4.0
1.2753,,4.0
1.2794,,2.0
1.2834,,2.0
1.2875,,14.0
1.2915,,11.0
1.2956,,-1.0
1.2996,,1.0
1.3037,,12.0
1.3077,,8.0
1.3118,,-6.0
1.3158,,-6.0
1.3199,,9.0
1.3239,,-1.0
1.328,,1.0
1.332,,3.0
1.336,,1.0
1.3401,,-12.0
1.3441,,7.0
1.3482,,4.0
1.3522,,-4.0
1.3563,,-1.0
1.3603,,-1.0
1.3644,,0.0
1.3684,,0.0
1.3725,,8.0
1.3765,,5.0
1.3806,,6.0
1.3846,,6.0
1.3887,,6.0
1.3927,,4.0
1.3968,,4.0
1.4008,,5.0
1.4049,,3.0
1.4089,,-2.0
1.413,,-6.0
1.417,,-4.0
1.4211,,-3.0
1.4251,,13.0
1.4292,,4.0
1.4332,,1.0
1.4373,,4.0
1.4413,,8.0
1.4454,,11.0
1.4494,,-1.0
1.4535,,-6.0
1.4575,,1.0
1.4616,,11.0
1.4656,,0.0
1.4697,,0.0
1.4737,,7.0
1.4777,,-4.0
1.4818,,6.0
1.4858,,0.0
1.4899,,0.0
1.4939,,-6.0
1.498,,-1.0
1.502,,-8.0
1.5021,3.79,
1.5061,,6.0
1.5101,,6.0
1.5142,,3.0
1.5182,,8.0
1.5223,,15.0
1.5263,,5.0
1.5304,,4.0
1.5344,,-4.0
1.5385,,2.0
1.5425,,3.0
1.5466,,-8.0
1.5506,,-1.0
1.5547,,-1.0
1.5587,,7.0
1.5628,,-1.0
1.5668,,-1.0
1.5709,,2.0
1.5749,,-7.0
1.579,,-3.0
1.583,,13.0
1.5871,,-1.0
1.5911,,0.0
1.5952,,-3.0
1.5992,,4.0
1.6033,,9.0
1.6073,,5.0
1.6114,,-2.0
1.6154,,-4.0
1.6195,,0.0
1.6235,,11.0
1.6275,,4.0
1.6316,,0.0
1.6356,,6.0
1.6397,,2.0
1.6437,,2.0
1.6478,,6.0
1.6518,,0.0
1.6559,,4.0
1.6599,,1.0
1.664,,5.0
1.668,,10.0
1.6721,,3.0
1.6761,,-4.0
1.6802,,4.0
1.6842,,3.0
1.6883,,-2.0
1.6923,,-2.0
1.6964,,3.0
1.7004,,-13.0
1.7045,,-1.0
1.7085,,1.0
1.7126,,-2.0
1.7166,,3.0
1.7207,,3.0
1.7247,,1.0
1.7288,,1.0
1.7328,,6.0
1.7369,,4.0
1.7409,,8.0
1.745,,-3.0
1.749,,6.0
1.7531,,3.0
1.7571,,13.0
1.7612,,-4.0
1.7652,,6.0
1.7693,,2.0
1.7733,,8.0
1.7773,,10.0
1.7814,,4.0
1.7854,,6.0
1.7895,,3.0
